time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,
2022-09-12T15:23:00+09:00,143.422,143.434,143.379,143.391,NaN,NaN,NaN,143.4584494593739,143.4584494593739,143.4584494593739,143.4065
2022-09-12T15:24:00+09:00,143.391,143.397,143.382,143.384,NaN,NaN,NaN,143.43435956749911,NaN,NaN,143.3885
2022-09-12T15:25:00+09:00,143.384,143.391,143.346,143.346,NaN,NaN,NaN,143.41428765399928,NaN,NaN,143.36675
2022-09-12T15:26:00+09:00,143.346,143.375,143.334,143.36599999999999,NaN,NaN,NaN,143.40015012319944,NaN,NaN,143.35525
2022-09-12T15:27:00+09:00,143.36599999999999,143.414,143.355,143.403,143.34464043250088,143.34464043250088,143.34464043250088,NaN,NaN,NaN,143.3845
2022-09-12T15:28:00+09:00,143.403,143.403,143.346,143.374,143.34464043250088,NaN,NaN,NaN,NaN,NaN,143.3815
2022-09-12T15:29:00+09:00,143.374,143.376,143.355,143.36499999999998,143.34464043250088,NaN,NaN,NaN,NaN,NaN,143.3675
2022-09-12T15:30:00+09:00,143.36499999999998,143.36499999999998,143.31799999999998,143.319,NaN,NaN,NaN,143.38890565046248,143.38890565046248,143.38890565046248,143.34175
2022-09-12T15:31:00+09:00,143.319,143.35999999999999,143.30599999999998,143.339,NaN,NaN,NaN,143.38280452036997,NaN,NaN,143.331
2022-09-12T15:32:00+09:00,143.339,143.34,143.295,143.29999999999998,NaN,NaN,NaN,143.36724361629598,NaN,NaN,143.31849999999997
2022-09-12T15:33:00+09:00,143.29999999999998,143.331,143.297,143.303,NaN,NaN,NaN,143.36127489303678,NaN,NaN,143.30775
2022-09-12T15:34:00+09:00,143.303,143.33599999999998,143.297,143.301,NaN,NaN,NaN,143.36127489303678,NaN,NaN,143.30925000000002
2022-09-12T15:35:00+09:00,143.301,143.307,143.284,143.301,NaN,NaN,NaN,143.33767993154356,NaN,NaN,143.29825
2022-09-12T15:36:00+09:00,143.301,143.352,143.301,143.34099999999998,143.28319547962997,143.28319547962997,143.28319547962997,NaN,NaN,NaN,143.32375
2022-09-12T15:37:00+09:00,143.34099999999998,143.374,143.34,143.351,143.31354884381213,NaN,NaN,NaN,NaN,NaN,143.3515
2022-09-12T15:38:00+09:00,143.351,143.374,143.34799999999998,143.369,143.3205190750497,NaN,NaN,NaN,NaN,NaN,143.3605
2022-09-12T15:39:00+09:00,143.369,143.41299999999998,143.369,143.403,143.34893526003975,NaN,NaN,NaN,NaN,NaN,143.3885
2022-09-12T15:40:00+09:00,143.403,143.41,143.386,143.397,143.3590682080318,NaN,NaN,NaN,NaN,NaN,143.399
2022-09-12T15:41:00+09:00,143.397,143.438,143.38899999999998,143.427,143.37157456642544,NaN,NaN,NaN,NaN,NaN,143.41275
2022-09-12T15:42:00+09:00,143.427,143.432,143.32999999999998,143.331,NaN,NaN,NaN,143.4369317919682,143.4369317919682,143.4369317919682,143.38
2022-09-12T15:43:00+09:00,143.331,143.346,143.298,143.301,NaN,NaN,NaN,143.3773442774877,NaN,NaN,143.31900000000002
2022-09-12T15:44:00+09:00,143.301,143.32899999999998,143.28799999999998,143.325,NaN,NaN,NaN,143.36179542199014,NaN,NaN,143.31074999999998
2022-09-12T15:45:00+09:00,143.325,143.325,143.274,143.277,NaN,NaN,NaN,143.35335633759212,NaN,NaN,143.30025
2022-09-12T15:46:00+09:00,143.277,143.289,143.257,143.28,NaN,NaN,NaN,143.3231250700737,NaN,NaN,143.27575
2022-09-12T15:47:00+09:00,143.28,143.283,143.251,143.256,NaN,NaN,NaN,143.31414005605896,NaN,NaN,143.26749999999998
2022-09-12T15:48:00+09:00,143.256,143.268,143.236,143.266,NaN,NaN,NaN,143.29675204484718,NaN,NaN,143.2565
2022-09-12T15:49:00+09:00,143.266,143.268,143.22899999999998,143.257,NaN,NaN,NaN,143.2928816358777,NaN,NaN,143.255
2022-09-12T15:50:00+09:00,143.257,143.26,143.214,143.224,NaN,NaN,NaN,143.2826253087022,NaN,NaN,143.23874999999998
