time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,SELLING,BUYING,SPAvg,BPAvg,VPO1,VPO2,VPH
2022-09-12T15:24:00+09:00,32144.91,32145.41,32140.54,32141.41,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32143.0675,26.30139372822683,-4.698606271773169,21.07307563607908,16.943215639247555,NaN,NaN,NaN
2022-09-12T15:25:00+09:00,32141.41,32145.54,32138.41,32145.54,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32142.725,-8.29220138203273,19.70779861796727,17.82925784574006,17.09974980025419,NaN,NaN,NaN
2022-09-12T15:26:00+09:00,32145.54,32147.91,32141.41,32147.91,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32145.6925,-16.317968015054202,25.6820319849458,16.64048094048384,19.284453886678754,NaN,NaN,NaN
2022-09-12T15:27:00+09:00,32147.91,32153.91,32142.54,32146.41,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32147.6925,40.58376511226127,-21.416234887738735,22.329107757114144,20.36357515854989,NaN,NaN,NaN
2022-09-12T15:28:00+09:00,32146.41,32150.41,32143.41,32148.54,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32147.192499999997,-22.2,51.8,23.718987521993185,28.492461686880198,NaN,NaN,NaN
2022-09-12T15:29:00+09:00,32148.54,32148.54,32144.54,32145.54,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32146.79,43.2,-10.8,28.93671058271465,26.101567897242727,NaN,NaN,NaN
2022-09-12T15:30:00+09:00,32145.54,32148.91,32138.54,32144.54,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32144.3825,32.94074526572881,-19.059254734271192,31.24215001864856,23.743266159090474,NaN,NaN,NaN
2022-09-12T15:31:00+09:00,32144.54,32151.54,32143.54,32151.54,NaN,NaN,NaN,32156.32948620118,NaN,NaN,32147.79,-6,48,25.507972372969896,29.21787418477979,NaN,NaN,NaN
2022-09-12T15:32:00+09:00,32151.54,32157.54,32151.41,32157.54,32134.36003612522,32134.36003612522,32134.36003612522,NaN,NaN,NaN,32154.5075,-0.9137380191761914,43.08626198082381,17.925869373101804,34.053623140213126,NaN,NaN,NaN
2022-09-12T15:33:00+09:00,32157.54,32161.91,32157.54,32161.41,32140.3105325127,NaN,NaN,NaN,NaN,NaN,32159.6,-5.44147843942619,47.55852156057381,12.909245889715876,38.63878498416163,NaN,NaN,NaN
2022-09-12T15:34:00+09:00,32161.41,32164.91,32159.54,32163.91,32143.14097926143,NaN,NaN,NaN,NaN,NaN,32162.4425,-16.272099447509525,46.727900552490475,12.495803408317807,41.80735433723097,NaN,NaN,NaN
2022-09-12T15:35:00+09:00,32163.91,32175.41,32161.91,32175.41,32147.434381335286,NaN,NaN,NaN,NaN,NaN,32169.16,-7.612903225806451,51.38709677419355,11.171717742340451,44.99443228473895,NaN,NaN,NaN
2022-09-12T15:36:00+09:00,32175.41,32184.91,32174.41,32183.41,32157.40694320176,NaN,NaN,NaN,NaN,NaN,32179.535,-15.125,105.875,11.829016890260998,61.011343700431205,NaN,NaN,NaN
2022-09-12T15:37:00+09:00,32183.41,32195.54,32178.91,32194.41,32162.208248881583,NaN,NaN,NaN,NaN,NaN,32188.0675,-21.296734500708865,78.70326549929113,14.360271079853103,69.43855200406925,NaN,NaN,NaN
2022-09-12T15:38:00+09:00,32194.41,32198.91,32192.91,32193.41,32171.594923993423,NaN,NaN,NaN,NaN,NaN,32194.91,79.42857142857143,-59.57142857142857,31.26015971443071,69.0785732218186,NaN,NaN,NaN
2022-09-12T15:39:00+09:00,32193.41,32199.41,32188.41,32192.41,32171.594923993423,NaN,NaN,NaN,NaN,NaN,32193.41,78.29411764705883,-42.70588235294118,47.24362135623214,62.39540580903658,NaN,NaN,NaN
2022-09-12T15:40:00+09:00,32192.41,32199.41,32189.54,32190.41,32171.594923993423,NaN,NaN,NaN,NaN,NaN,32192.9425,42.7095435684629,-30.2904564315371,50.10596731974019,52.6983766114662,NaN,NaN,NaN
2022-09-12T15:41:00+09:00,32190.41,32198.54,32187.41,32197.54,32171.594923993423,NaN,NaN,NaN,NaN,NaN,32193.475,-14.861995753714426,55.13800424628557,42.01056091911076,50.88402622077845,NaN,NaN,NaN
2022-09-12T15:42:00+09:00,32197.54,32199.41,32193.54,32199.41,32171.594923993423,NaN,NaN,NaN,NaN,NaN,32197.475,-10.131712259372879,14.868287740627121,32.01699715401893,41.426504003068686,NaN,NaN,NaN
2022-09-12T15:43:00+09:00,32199.41,32199.54,32198.41,32199.54,32175.665001768877,NaN,NaN,NaN,NaN,NaN,32199.225,-23.943661971819534,27.056338028180463,27.500272417196125,35.469581954919185,NaN,NaN,NaN
2022-09-12T15:44:00+09:00,32199.54,32199.54,32193.54,32194.54,32175.665001768877,NaN,NaN,NaN,NaN,NaN,32196.79,30.857142857142854,-5.142857142857142,27.210308842977106,26.3986702398663,NaN,NaN,NaN
2022-09-12T15:45:00+09:00,32194.54,32196.54,32191.54,32193.54,32175.665001768877,NaN,NaN,NaN,NaN,NaN,32194.04,49.285714285714285,-19.71428571428571,32.65666931010665,22.45984617970793,NaN,NaN,NaN
2022-09-12T15:46:00+09:00,32193.54,32198.54,32193.54,32197.41,32175.665001768877,NaN,NaN,NaN,NaN,NaN,32195.7575,-7.74225122349672,34.257748776503284,27.789654905236553,24.424615813867177,NaN,NaN,NaN
