time,open,high,low,close
2022-09-12T15:24:00+09:00,1713.81,1713.985,1713.695,1713.8
2022-09-12T15:25:00+09:00,1713.8,1714.38,1713.68,1714.38
2022-09-12T15:26:00+09:00,1714.38,1714.56,1714.105,1714.51
2022-09-12T15:27:00+09:00,1714.51,1714.725,1714.385,1714.625
2022-09-12T15:28:00+09:00,1714.625,1715.305,1714.595,1715.305
2022-09-12T15:29:00+09:00,1715.305,1715.305,1714.885,1714.89
2022-09-12T15:30:00+09:00,1714.89,1715.05,1714.675,1714.98
2022-09-12T15:31:00+09:00,1714.98,1715.435,1714.94,1715.3
2022-09-12T15:32:00+09:00,1715.3,1715.915,1715.125,1715.84
2022-09-12T15:33:00+09:00,1715.84,1715.915,1715.49,1715.71
2022-09-12T15:34:00+09:00,1715.71,1715.775,1715.51,1715.675
2022-09-12T15:35:00+09:00,1715.675,1715.855,1715.47,1715.575
2022-09-12T15:36:00+09:00,1715.575,1715.87,1715.515,1715.87
2022-09-12T15:37:00+09:00,1715.87,1715.93,1715.635,1715.85
2022-09-12T15:38:00+09:00,1715.85,1716.015,1715.57,1715.65
2022-09-12T15:39:00+09:00,1715.65,1715.675,1715.32,1715.32
2022-09-12T15:40:00+09:00,1715.32,1715.68,1715.32,1715.66
2022-09-12T15:41:00+09:00,1715.66,1715.77,1715.43,1715.6
2022-09-12T15:42:00+09:00,1715.6,1716.22,1715.495,1716.205
2022-09-12T15:43:00+09:00,1716.205,1716.52,1716.045,1716.49
2022-09-12T15:44:00+09:00,1716.49,1716.82,1716.44,1716.71
2022-09-12T15:45:00+09:00,1716.71,1717.49,1716.71,1717.485
2022-09-12T15:46:00+09:00,1717.485,1718.17,1717.48,1717.875
2022-09-12T15:47:00+09:00,1717.875,1718.815,1717.875,1718.685
2022-09-12T15:48:00+09:00,1718.685,1719.035,1718.685,1718.95
2022-09-12T15:49:00+09:00,1718.95,1719.385,1718.95,1719.18
2022-09-12T15:50:00+09:00,1719.18,1719.38,1719.125,1719.2
2022-09-12T15:51:00+09:00,1719.2,1719.39,1719.115,1719.245
2022-09-12T15:52:00+09:00,1719.245,1719.61,1719.23,1719.475
2022-09-12T15:53:00+09:00,1719.475,1719.735,1719.465,1719.705
2022-09-12T15:54:00+09:00,1719.705,1719.925,1719.595,1719.855
2022-09-12T15:55:00+09:00,1719.855,1720.235,1719.715,1720.025
2022-09-12T15:56:00+09:00,1720.025,1720.9,1720.025,1720.65
2022-09-12T15:57:00+09:00,1720.65,1720.87,1720.495,1720.655
2022-09-12T15:58:00+09:00,1720.655,1720.72,1720.17,1720.61
2022-09-12T15:59:00+09:00,1720.61,1720.79,1720.24,1720.66
2022-09-12T16:00:00+09:00,1720.66,1720.71,1719.94,1720.555
2022-09-12T16:01:00+09:00,1720.555,1720.93,1719.655,1719.655
2022-09-12T16:02:00+09:00,1719.655,1720.295,1719.455,1719.66
2022-09-12T16:03:00+09:00,1719.66,1719.975,1719.385,1719.86
2022-09-12T16:04:00+09:00,1719.86,1720.74,1719.75,1720.71
2022-09-12T16:05:00+09:00,1720.71,1721.09,1719.71,1719.76
2022-09-12T16:06:00+09:00,1719.76,1720.29,1719.49,1719.6
2022-09-12T16:07:00+09:00,1719.6,1720.365,1719.545,1719.705
2022-09-12T16:08:00+09:00,1719.705,1720.81,1719.705,1720.46
2022-09-12T16:09:00+09:00,1720.46,1721.295,1720.435,1720.75
2022-09-12T16:10:00+09:00,1720.75,1723.05,1720.75,1722.57
2022-09-12T16:11:00+09:00,1722.57,1723.2,1722.56,1723.065
2022-09-12T16:12:00+09:00,1723.065,1723.735,1722.955,1723.215
2022-09-12T16:13:00+09:00,1723.215,1723.52,1722.365,1722.515
2022-09-12T16:14:00+09:00,1722.515,1723.395,1722.44,1723.215
