time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,quick,fast,middle,slow,Shapes,Shapes,Shapes,Shapes,SELLING,BUYING,SPAvg,BPAvg,VPO1,VPO2,VPH,BBP,Plot,Nivel 0&quot;,Nivel 2,Nivel -2&quot;,Bull Trend&quot;,Bear Trend&quot;,Trend,Bull Trend Hist,Bull Trend Hist,Trend,BBPower,Bull,Bear
2022-09-12T15:24:00+09:00,12582.9,12584.9,12578.9,12581.5,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12582.05,12582.380000000043,12583.308333333289,12587.137499999995,12591.683333333305,0,0,0,0,119.99999999999493,-52.00000000000507,84.89830422776626,85.30572365378362,NaN,NaN,NaN,-0.17666666666646053,0,0,2,-2,0.6281508143380778,-4.777753163602866,-4.149602349264788,-1.3718491856619222,0,NaN,-4.455943945118634,0.7720280274406832,-5.227971972559317
2022-09-12T15:25:00+09:00,12578.9,12583.8,12578.7,12583.8,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12581.3,12582.760000000042,12583.15833333329,12586.666666666662,12591.470833333306,0,0,0,0,-71.94936708860878,131.05063291139123,84.6671288569884,95.53426618676153,NaN,NaN,NaN,-0.1733333333331757,0,0,2,-2,1.0722192613865311,-4.365464135646506,-3.2932448742599747,-0.9277807386134689,0,NaN,-5.662237667242152,-0.2811188336218038,-5.381118833620349
2022-09-12T15:26:00+09:00,12583.5,12585.7,12580.1,12585.7,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12583.75,12583.54000000004,12583.24166666662,12586.20833333333,12591.370833333305,0,0,0,0,-68.43010752686689,103.5698924731331,80.55007968176355,100.1003083915989,NaN,NaN,NaN,-0.17666666666646053,0,0,2,-2,1.4155617742012712,-3.94469881077414,-2.5291370365728687,-0.5844382257987288,0,NaN,-2.8247751433500525,1.3876124283251556,-4.212387571675208
2022-09-12T15:27:00+09:00,12584.8,12587.1,12581.3,12583.9,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12584.275,12583.820000000042,12583.349999999953,12585.816666666664,12591.191666666637,0,0,0,0,156.73809523809757,-70.26190476190241,98.56782127704085,93.78221803538412,NaN,NaN,NaN,-0.3399999999998424,0,0,2,-2,1.0558293078824144,-4.204793910339678,-3.1489646024572635,-0.9441706921175856,0,NaN,-0.10695012287214922,2.846524938564471,-2.9534750614366203
2022-09-12T15:28:00+09:00,12584,12585.6,12581.2,12584.2,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12583.75,12583.820000000042,12583.408333333284,12585.495833333332,12590.960416666638,0,0,0,0,-89.44444444443475,140.55555555556523,100.79141246770865,103.8960298263757,NaN,NaN,NaN,-0.35666666666650904,0,0,2,-2,1.1540947451735777,-4.308620381981287,-3.1545256368077093,-0.8459052548264223,0,NaN,-1.6916715338902577,1.3541642330546892,-3.045835766944947
2022-09-12T15:29:00+09:00,12584,12584.7,12580.1,12583.7,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12583.125,12584.260000000042,12583.349999999953,12585.104166666664,12590.679166666638,0,0,0,0,96.48780487804785,-75.51219512195215,100.2714083679604,99.32852409801771,NaN,NaN,NaN,-0.5099999999998545,0,0,2,-2,1.0828681725451157,-4.508669300233229,-3.4258011276881133,-0.9171318274548843,0,NaN,-3.5357184576187137,0.532140771190825,-4.067859228809539
2022-09-12T15:30:00+09:00,12584.2,12584.5,12579.3,12584.2,NaN,NaN,NaN,12585.838099572056,NaN,NaN,12583.05,12584.340000000044,12583.39166666662,12584.85833333333,12590.40624999997,0,0,0,0,-104.30693069307775,110.69306930692227,101.15028792430269,101.02778396815435,NaN,NaN,NaN,-0.29999999999987875,0,0,2,-2,1.1757137165910256,-4.389331208606425,-3.2136174920153993,-0.8242862834089744,0,NaN,-4.544901535104145,0.32754923244829115,-4.8724507675524364
2022-09-12T15:31:00+09:00,12583.7,12586.4,12580.6,12586.1,12578.545195979803,12578.545195979803,12578.545195979803,NaN,NaN,NaN,12584.199999999999,12584.420000000044,12583.624999999955,12584.616666666661,12590.145833333305,0,0,0,0,-93.06382978724704,149.93617021275296,99.34839327912434,113.67969549683816,NaN,NaN,NaN,-0.0066666666665696536,0,0,2,-2,1.5068782735032558,-3.9102537476985018,-2.403375474195246,-0.49312172649674424,0,NaN,-1.8956298872326443,1.952185056383314,-3.8478149436159583
2022-09-12T15:32:00+09:00,12586.2,12589.8,12583.8,12589.8,12580.866488661863,NaN,NaN,NaN,NaN,NaN,12587.400000000001,12585.600000000044,12584.283333333284,12584.56666666666,12589.927083333305,0,0,0,0,-67.42857142860062,168.57142857139937,90.91796415519883,130.56560664764942,NaN,NaN,NaN,-0.029999999999987873,0,0,2,-2,2.150497281093025,-3.11451330365256,-0.9640160225595351,0,0,NaN,3.1751743823697325,4.587587191184866,-1.4124128088151338
2022-09-12T15:33:00+09:00,12589.9,12594,12588.5,12593.4,12585.293190929491,NaN,NaN,NaN,NaN,NaN,12591.45,12587.440000000042,12585.24999999995,12584.612499999994,12589.808333333303,0,0,0,0,-63.101449275349246,247.89855072465076,81.85622815425506,164.12032045460256,NaN,NaN,NaN,0.2233333333333576,0,0,2,-2,2.806871901060993,-2.437546650921698,0.36932525013929496,0,0,NaN,9.735863756319304,7.617931878159652,2.117931878159652
