timejst,timestamp,open,high,low,close,volume
2021-11-02 07:00:00+09:00,1635804000.0,35859.3,35869.8,35858.8,35867.7,0
2021-11-02 07:05:00+09:00,1635804300.0,35868.2,35868.2,35849.6,35853.7,0
2021-11-02 07:10:00+09:00,1635804600.0,35854.2,35861.7,35852.8,35857.8,0
2021-11-02 07:15:00+09:00,1635804900.0,35858.3,35860.3,35851.2,35851.7,0
2021-11-02 07:20:00+09:00,1635805200.0,35851.7,35855.7,35848.7,35852.3,0
2021-11-02 07:25:00+09:00,1635805500.0,35852.3,35858.9,35851.3,35851.8,0
2021-11-02 07:30:00+09:00,1635805800.0,35851.3,35851.3,35829.5,35831.5,0
2021-11-02 07:35:00+09:00,1635806100.0,35831.5,35838.7,35827.1,35837.7,0
2021-11-02 07:40:00+09:00,1635806400.0,35838.2,35838.2,35826.7,35829.2,0
2021-11-02 07:45:00+09:00,1635806700.0,35829.2,35831.7,35825.7,35826.7,0
2021-11-02 07:50:00+09:00,1635807000.0,35827.7,35829.7,35822.8,35824.8,0
2021-11-02 07:55:00+09:00,1635807300.0,35823.9,35828.3,35821.8,35825.3,0
2021-11-02 08:00:00+09:00,1635807600.0,35825.3,35834.9,35823.8,35833.8,0
2021-11-02 08:05:00+09:00,1635807900.0,35833.8,35836.3,35832.3,35834.4,0
2021-11-02 08:10:00+09:00,1635808200.0,35833.9,35834.9,35817.8,35826.1,0
2021-11-02 08:15:00+09:00,1635808500.0,35825.6,35833.7,35818.2,35820.2,0
2021-11-02 08:20:00+09:00,1635808800.0,35820.7,35826.6,35811.7,35825.6,0
2021-11-02 08:25:00+09:00,1635809100.0,35824.6,35827.8,35821.6,35826.8,0
2021-11-02 08:30:00+09:00,1635809400.0,35826.8,35831.3,35822.7,35825.5,0
2021-11-02 08:35:00+09:00,1635809700.0,35825.0,35834.7,35823.5,35834.7,0
2021-11-02 08:40:00+09:00,1635810000.0,35834.2,35836.2,35828.8,35829.3,0
2021-11-02 08:45:00+09:00,1635810300.0,35829.8,35830.9,35825.9,35829.9,0
2021-11-02 08:50:00+09:00,1635810600.0,35829.9,35831.9,35826.9,35826.9,0
2021-11-02 08:55:00+09:00,1635810900.0,35827.9,35834.6,35826.9,35834.6,0
2021-11-02 09:00:00+09:00,1635811200.0,35834.6,35837.1,35832.0,35833.0,0
2021-11-02 09:05:00+09:00,1635811500.0,35833.0,35838.5,35833.0,35836.5,0
2021-11-02 09:10:00+09:00,1635811800.0,35836.5,35842.5,35836.5,35838.4,0
2021-11-02 09:15:00+09:00,1635812100.0,35838.9,35839.5,35832.6,35833.1,0
2021-11-02 09:20:00+09:00,1635812400.0,35833.6,35835.6,35828.5,35830.0,0
2021-11-02 09:25:00+09:00,1635812700.0,35830.1,35831.6,35826.1,35831.1,0
2021-11-02 09:30:00+09:00,1635813000.0,35831.1,35837.5,35830.4,35830.8,0
