time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,
2022-07-18T13:00:00+09:00,1716.145,1716.92,1716.13,1716.32,1714.9812292949905,NaN,NaN,NaN,NaN,NaN,1716.3787499999999
2022-07-18T13:15:00+09:00,1716.32,1716.32,1715.53,1715.83,1714.9812292949905,NaN,NaN,NaN,NaN,NaN,1716
2022-07-18T13:30:00+09:00,1715.83,1716.035,1714.505,1714.67,NaN,NaN,NaN,1716.733653251206,1716.733653251206,1716.733653251206,1715.26
2022-07-18T13:45:00+09:00,1714.67,1715.055,1714,1714.345,NaN,NaN,NaN,1715.930522600965,NaN,NaN,1714.5175000000002
2022-07-18T14:00:00+09:00,1714.345,1715.42,1714.13,1714.915,NaN,NaN,NaN,1715.930522600965,NaN,NaN,1714.7025
2022-07-18T14:15:00+09:00,1714.915,1715.86,1714.68,1715.72,NaN,NaN,NaN,1715.930522600965,NaN,NaN,1715.29375
2022-07-18T14:30:00+09:00,1715.72,1717.88,1715.575,1717.645,1715.1127404283059,1715.1127404283059,1715.1127404283059,NaN,NaN,NaN,1716.705
2022-07-18T14:45:00+09:00,1717.645,1718.385,1714.415,1714.55,NaN,NaN,NaN,1718.5652076573554,1718.5652076573554,1718.5652076573554,1716.24875
2022-07-18T15:00:00+09:00,1714.55,1716.48,1714.295,1714.81,NaN,NaN,NaN,1717.6003661258842,NaN,NaN,1715.03375
2022-07-18T15:15:00+09:00,1714.81,1715.33,1713.4,1713.87,NaN,NaN,NaN,1716.5598929007074,NaN,NaN,1714.3525
2022-07-18T15:30:00+09:00,1713.87,1713.87,1711.985,1713.635,NaN,NaN,NaN,1715.0981143205656,NaN,NaN,1713.34
2022-07-18T15:45:00+09:00,1713.635,1714.665,1713.47,1714.515,NaN,NaN,NaN,1715.0981143205656,NaN,NaN,1714.0712500000002
2022-07-18T16:00:00+09:00,1714.515,1716.745,1713.405,1716.52,1713.174633874116,1713.174633874116,1713.174633874116,NaN,NaN,NaN,1715.2962499999999
2022-07-18T16:15:00+09:00,1716.52,1720.335,1714.925,1718.55,1714.5723494678705,NaN,NaN,NaN,NaN,NaN,1717.5825
2022-07-18T16:30:00+09:00,1718.55,1720.735,1717.915,1718.48,1716.258479574296,NaN,NaN,NaN,NaN,NaN,1718.92
2022-07-18T16:45:00+09:00,1718.48,1719.545,1717.82,1718.805,1716.258479574296,NaN,NaN,NaN,NaN,NaN,1718.6625000000001
2022-07-18T17:00:00+09:00,1718.805,1719.795,1718.57,1719.125,1716.6468269275495,NaN,NaN,NaN,NaN,NaN,1719.07375
2022-07-18T17:15:00+09:00,1719.125,1719.645,1718.44,1718.585,1716.7488615420398,NaN,NaN,NaN,NaN,NaN,1718.94875
2022-07-18T17:30:00+09:00,1718.585,1719.96,1717.825,1718.58,1716.7488615420398,NaN,NaN,NaN,NaN,NaN,1718.7375
2022-07-18T17:45:00+09:00,1718.58,1719.46,1718.085,1719.315,1716.7488615420398,NaN,NaN,NaN,NaN,NaN,1718.8600000000001
2022-07-18T18:00:00+09:00,1719.315,1720.645,1718.46,1720.535,1717.3548491095244,NaN,NaN,NaN,NaN,NaN,1719.73875
2022-07-18T18:15:00+09:00,1720.535,1722.135,1719.025,1721.865,1718.1376792876194,NaN,NaN,NaN,NaN,NaN,1720.8899999999999
2022-07-18T18:30:00+09:00,1721.865,1723.99,1721.865,1722.97,1720.5061434300956,NaN,NaN,NaN,NaN,NaN,1722.6725000000001
2022-07-18T18:45:00+09:00,1722.97,1723.825,1722.14,1722.15,1720.6747147440765,NaN,NaN,NaN,NaN,NaN,1722.7712500000002
2022-07-18T19:00:00+09:00,1722.15,1722.255,1718.205,1719.06,NaN,NaN,NaN,1722.9672282047388,1722.9672282047388,1722.9672282047388,1720.4175
